timestamp,ear_ema,mar_ema,pitch,yolo_classes,status_text
1766758058.2237527,0.299,0.041,7.65,closed_mouth-open_eyes,NORMAL
1766758058.319949,0.300,0.054,8.70,closed_mouth-open_eyes,NORMAL
1766758058.4179027,0.297,0.045,8.67,closed_mouth,NORMAL
1766758058.5035384,0.299,0.060,7.06,closed_mouth-open_eyes-open_eyes,NORMAL
1766758058.6057475,0.296,0.073,7.59,closed_mouth-open_eyes-open_eyes,NORMAL
1766758058.7083552,0.292,0.075,7.90,closed_mouth,NORMAL
1766758058.804973,0.291,0.082,6.72,closed_mouth,NORMAL
1766758058.9056284,0.287,0.078,7.32,closed_mouth-closed_eyes,DIKKAT! (Goz Kapandi)
1766758058.9932232,0.278,0.058,7.84,closed_mouth-closed_eyes,DIKKAT! (Goz Kapandi)
1766758059.076278,0.276,0.048,8.44,open_eyes-closed_mouth,NORMAL
1766758059.1785069,0.277,0.039,9.84,open_eyes,NORMAL
1766758059.2741492,0.268,0.035,8.08,closed_eyes,DIKKAT! (Goz Kapandi)
1766758059.364786,0.270,0.035,8.04,None,NORMAL
1766758059.4571,0.267,0.039,8.66,closed_mouth-closed_eyes,DIKKAT! (Goz Kapandi)
1766758059.54822,0.267,0.049,5.64,closed_eyes,DIKKAT! (Goz Kapandi)
1766758059.6446044,0.267,0.058,5.97,None,NORMAL
1766758059.739155,0.270,0.081,5.65,open_eyes-closed_mouth,NORMAL
1766758059.8382537,0.279,0.100,5.71,closed_mouth,NORMAL
1766758059.9253175,0.282,0.105,5.01,closed_mouth,NORMAL
1766758060.0109444,0.286,0.109,3.79,closed_mouth-open_eyes,NORMAL
1766758060.0995586,0.284,0.094,6.16,closed_mouth,NORMAL
1766758060.1886714,0.271,0.087,5.69,closed_mouth,NORMAL
1766758060.279194,0.265,0.087,5.27,closed_mouth-closed_eyes,DIKKAT! (Goz Kapandi)
1766758060.363802,0.267,0.074,5.99,closed_eyes,DIKKAT! (Goz Kapandi)
1766758060.5925152,0.262,0.084,5.38,closed_eyes,DIKKAT! (Goz Kapandi)
1766758060.7356539,0.258,0.077,6.30,closed_mouth,NORMAL
1766758060.829241,0.253,0.086,6.29,closed_mouth-closed_eyes-closed_eyes,DIKKAT! (Goz Kapandi)
1766758060.9330158,0.257,0.098,6.39,closed_mouth,NORMAL
1766758061.03065,0.251,0.091,6.66,closed_mouth,NORMAL
1766758061.1198518,0.251,0.086,7.34,closed_eyes,DIKKAT! (Goz Kapandi)
1766758061.239086,0.253,0.088,6.60,closed_mouth,NORMAL
1766758061.3297157,0.258,0.081,6.44,closed_mouth,NORMAL
1766758061.4233396,0.261,0.081,6.45,closed_mouth-closed_eyes,DIKKAT! (Goz Kapandi)
1766758061.5219939,0.269,0.072,6.76,closed_mouth,NORMAL
1766758061.6211863,0.273,0.061,6.37,closed_mouth-open_eyes,NORMAL
1766758061.7137551,0.272,0.047,5.77,None,NORMAL
1766758061.8053362,0.275,0.061,3.98,closed_mouth-open_eyes,NORMAL
1766758061.898928,0.278,0.067,4.52,open_eyes-closed_mouth,NORMAL
1766758061.995542,0.265,0.047,4.10,closed_eyes,DIKKAT! (Goz Kapandi)
1766758062.087591,0.254,0.035,4.98,closed_eyes,DIKKAT! (Goz Kapandi)
1766758062.1887531,0.245,0.068,4.64,closed_mouth,NORMAL
1766758062.2878404,0.237,0.112,5.48,closed_mouth,NORMAL
1766758062.3734336,0.231,0.083,8.88,closed_mouth,NORMAL
1766758062.48688,0.230,0.073,8.38,closed_mouth-closed_eyes,DIKKAT! (Goz Kapandi)
1766758062.6133614,0.232,0.073,8.85,closed_mouth,NORMAL
1766758062.726277,0.235,0.054,8.12,closed_eyes,DIKKAT! (Goz Kapandi)
1766758062.8298185,0.237,0.051,8.08,closed_eyes,DIKKAT! (Goz Kapandi)
1766758062.9403682,0.236,0.041,7.17,closed_mouth-closed_eyes,DIKKAT! (Goz Kapandi)
1766758063.0474765,0.228,0.080,7.54,closed_mouth-closed_eyes,DIKKAT! (Goz Kapandi)
1766758063.15213,0.225,0.110,11.66,closed_mouth-closed_eyes,DIKKAT! (Goz Kapandi)
1766758063.2472348,0.221,0.082,9.66,closed_eyes-closed_mouth,DIKKAT! (Goz Kapandi)
1766758063.3508935,0.217,0.059,9.06,closed_eyes-closed_mouth,DIKKAT! (Goz Kapandi)
1766758063.4539537,0.211,0.053,7.96,closed_eyes-closed_mouth,DIKKAT! (Goz Kapandi)
1766758063.572545,0.214,0.068,9.77,closed_mouth-closed_eyes-closed_eyes,DIKKAT! (Goz Kapandi)
1766758063.6796956,0.214,0.082,10.07,closed_mouth-closed_eyes-closed_eyes,DIKKAT! (Goz Kapandi)
1766758063.7934525,0.216,0.072,10.85,closed_mouth-closed_eyes-closed_eyes,DIKKAT! (Goz Kapandi)
1766758063.8990147,0.222,0.063,10.19,closed_mouth-closed_eyes-closed_eyes,DIKKAT! (Goz Kapandi)
1766758064.0115974,0.225,0.047,10.43,closed_eyes-closed_eyes,DIKKAT! (Goz Kapandi)
1766758064.1062117,0.226,0.035,8.52,closed_eyes-closed_eyes,DIKKAT! (Goz Kapandi)
1766758064.2100594,0.230,0.026,9.96,closed_eyes-closed_eyes-closed_mouth,DIKKAT! (Goz Kapandi)
1766758064.317921,0.227,0.020,9.58,closed_eyes-closed_eyes,DIKKAT! (Goz Kapandi)
1766758064.426663,0.227,0.015,10.24,closed_eyes-closed_eyes,DIKKAT! (Goz Kapandi)
1766758064.5474043,0.245,0.012,10.07,closed_eyes,DIKKAT! (Goz Kapandi)
1766758064.6348164,0.254,0.011,11.35,None,NORMAL
1766758064.745881,0.260,0.009,10.01,None,NORMAL
1766758064.8386433,0.264,0.008,9.06,closed_eyes-open_eyes,DIKKAT! (Goz Kapandi)
1766758064.9445798,0.260,0.007,10.59,None,NORMAL
1766758065.0608668,0.257,0.008,8.90,None,NORMAL
1766758065.1766703,0.256,0.012,8.27,closed_mouth,NORMAL
1766758065.3013637,0.253,0.028,8.44,None,NORMAL
1766758065.4131062,0.248,0.041,7.54,closed_mouth-closed_eyes,DIKKAT! (Goz Kapandi)
1766758065.5278287,0.243,0.063,7.20,closed_mouth-closed_eyes,DIKKAT! (Goz Kapandi)
1766758065.6298256,0.242,0.068,9.35,closed_mouth-closed_eyes,DIKKAT! (Goz Kapandi)
1766758065.7406046,0.239,0.056,10.27,closed_mouth-closed_eyes,DIKKAT! (Goz Kapandi)
1766758065.8287935,0.229,0.042,10.64,closed_eyes-closed_mouth,DIKKAT! (Goz Kapandi)
1766758065.9215736,0.184,0.031,11.22,closed_mouth,NORMAL
1766758066.0193517,0.152,0.026,12.43,None,NORMAL
1766758066.1288307,0.129,0.024,13.84,closed_eyes,DIKKAT! (Goz Kapandi)
1766758066.2226875,0.118,0.024,14.88,None,NORMAL
1766758066.3208437,0.112,0.031,12.79,None,NORMAL
1766758066.4263241,0.162,0.030,10.46,closed_mouth,NORMAL
1766758066.5361192,0.204,0.031,9.88,closed_mouth-open_eyes,DIKKAT! (Goz Kapandi)
1766758066.6392496,0.230,0.041,8.90,closed_mouth-open_eyes,NORMAL
1766758066.7541356,0.239,0.045,9.27,closed_mouth-open_eyes,NORMAL
1766758066.8684561,0.246,0.042,9.94,closed_mouth,NORMAL
1766758066.9812582,0.254,0.038,9.51,closed_mouth-open_eyes,NORMAL
1766758067.0945866,0.256,0.029,9.87,closed_mouth,NORMAL
