epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.0814,2.27817,3.99788,1.95169,0.00358,0.23144,0.07004,0.01673,1.63477,3.89257,1.65162,0.00040625,0.00040625,0.00040625
2,34.6149,1.73777,2.44167,1.44895,0.95901,0.11704,0.39366,0.20096,1.53916,2.83892,1.44143,0.00081477,0.00081477,0.00081477
3,50.709,1.66047,1.95663,1.40653,0.57074,0.26119,0.39443,0.17858,1.77318,2.6248,1.67648,0.00121504,0.00121504,0.00121504
4,66.9088,1.61799,1.71821,1.40151,0.55291,0.60168,0.59009,0.28791,1.72714,1.73073,1.71302,0.00121287,0.00121287,0.00121287
5,82.902,1.60062,1.5664,1.38649,0.65868,0.59727,0.67838,0.38275,1.5468,1.34306,1.51801,0.0012005,0.0012005,0.0012005
6,98.7666,1.53125,1.4133,1.34175,0.74352,0.80009,0.82004,0.48592,1.45898,1.05184,1.44808,0.00118812,0.00118812,0.00118812
7,114.619,1.49235,1.27898,1.33611,0.79875,0.78858,0.8388,0.44896,1.59028,1.09241,1.52919,0.00117575,0.00117575,0.00117575
8,130.647,1.49956,1.24622,1.34439,0.80611,0.82755,0.86786,0.49422,1.48195,1.01615,1.48955,0.00116337,0.00116337,0.00116337
9,146.53,1.47678,1.12461,1.31459,0.84941,0.76472,0.86851,0.47485,1.57328,1.16221,1.53398,0.001151,0.001151,0.001151
10,162.411,1.47512,1.07902,1.32226,0.82336,0.85592,0.88801,0.50176,1.48316,0.93985,1.47335,0.00113863,0.00113863,0.00113863
11,178.469,1.44081,1.0672,1.32214,0.86347,0.84847,0.92374,0.54094,1.51216,0.91866,1.51966,0.00112625,0.00112625,0.00112625
12,194.496,1.44729,1.01493,1.33675,0.86774,0.84559,0.89183,0.52697,1.4477,0.9131,1.45862,0.00111388,0.00111388,0.00111388
13,210.577,1.41679,0.97473,1.2969,0.82503,0.81278,0.88934,0.49027,1.54958,0.92281,1.52978,0.0011015,0.0011015,0.0011015
14,227.292,1.45457,0.95211,1.31691,0.84062,0.84327,0.90966,0.53758,1.44389,0.87456,1.46054,0.00108913,0.00108913,0.00108913
15,245.744,1.39958,0.93659,1.27665,0.90043,0.84877,0.90891,0.55228,1.43855,0.88708,1.47107,0.00107675,0.00107675,0.00107675
16,262.405,1.40887,0.90148,1.30718,0.86836,0.77958,0.89069,0.47483,1.68432,0.98287,1.63679,0.00106437,0.00106437,0.00106437
17,278.481,1.40845,0.9014,1.30345,0.92833,0.81318,0.92282,0.5295,1.45338,0.83404,1.47667,0.001052,0.001052,0.001052
18,294.557,1.37874,0.8719,1.26794,0.91792,0.87478,0.93681,0.57604,1.37151,0.75213,1.40953,0.00103962,0.00103962,0.00103962
19,310.692,1.3477,0.83851,1.27663,0.89819,0.91393,0.93889,0.55836,1.45775,0.76889,1.47494,0.00102725,0.00102725,0.00102725
20,326.881,1.34548,0.83508,1.26058,0.92627,0.83208,0.9006,0.56203,1.36702,0.80702,1.42135,0.00101488,0.00101488,0.00101488
21,343.238,1.31511,0.79857,1.24302,0.94749,0.79126,0.91216,0.54675,1.41502,0.77377,1.4341,0.0010025,0.0010025,0.0010025
22,359.639,1.31785,0.78376,1.24462,0.89903,0.8976,0.93042,0.55509,1.43493,0.72291,1.46823,0.000990125,0.000990125,0.000990125
23,376.259,1.31373,0.79915,1.25628,0.89402,0.87873,0.92052,0.56518,1.40202,0.75002,1.43105,0.00097775,0.00097775,0.00097775
24,392.535,1.31625,0.81239,1.254,0.9117,0.85025,0.9376,0.57408,1.43968,0.80243,1.47699,0.000965375,0.000965375,0.000965375
25,409.134,1.31324,0.76713,1.25318,0.91821,0.86815,0.93537,0.56128,1.44903,0.71699,1.47437,0.000953,0.000953,0.000953
26,425.431,1.31399,0.77343,1.24792,0.9006,0.88861,0.94427,0.57122,1.40699,0.71864,1.44543,0.000940625,0.000940625,0.000940625
27,441.584,1.28418,0.76007,1.23554,0.87986,0.8259,0.91397,0.5669,1.39882,0.77758,1.44008,0.00092825,0.00092825,0.00092825
28,457.861,1.28218,0.74668,1.24497,0.9199,0.87908,0.93968,0.55934,1.43098,0.72791,1.45996,0.000915875,0.000915875,0.000915875
29,473.854,1.25051,0.71623,1.21074,0.8487,0.91993,0.94097,0.569,1.40936,0.72903,1.45772,0.0009035,0.0009035,0.0009035
30,490.103,1.28513,0.7407,1.22936,0.79917,0.93323,0.87056,0.55412,1.36776,0.78668,1.4259,0.000891125,0.000891125,0.000891125
31,506.145,1.25284,0.73155,1.2244,0.89844,0.90619,0.94614,0.59042,1.36936,0.66898,1.448,0.00087875,0.00087875,0.00087875
32,522.174,1.26013,0.72116,1.2258,0.8868,0.91329,0.9462,0.59913,1.36548,0.72213,1.42232,0.000866375,0.000866375,0.000866375
33,538.195,1.24417,0.70621,1.21888,0.91377,0.91095,0.95413,0.56399,1.40271,0.67069,1.45222,0.000854,0.000854,0.000854
34,554.352,1.24703,0.68559,1.20579,0.89841,0.92499,0.95078,0.58126,1.4276,0.70718,1.48073,0.000841625,0.000841625,0.000841625
35,570.28,1.25744,0.70474,1.22304,0.90593,0.91527,0.94716,0.58334,1.39671,0.67225,1.44137,0.00082925,0.00082925,0.00082925
36,586.261,1.24142,0.68733,1.22942,0.94899,0.92254,0.95917,0.60532,1.36151,0.65272,1.42248,0.000816875,0.000816875,0.000816875
37,602.332,1.21984,0.67372,1.19577,0.92482,0.93476,0.96665,0.5768,1.41607,0.65815,1.46157,0.0008045,0.0008045,0.0008045
38,618.336,1.23044,0.69974,1.22482,0.90323,0.89953,0.92953,0.57597,1.37376,0.67239,1.436,0.000792125,0.000792125,0.000792125
39,634.329,1.20552,0.66524,1.20735,0.93326,0.90844,0.96623,0.59174,1.36594,0.6454,1.42966,0.00077975,0.00077975,0.00077975
40,650.62,1.2138,0.64967,1.19323,0.9394,0.88201,0.95915,0.58482,1.40704,0.69918,1.4534,0.000767375,0.000767375,0.000767375
41,666.877,1.21547,0.66767,1.2167,0.84566,0.89271,0.85846,0.51417,1.42462,0.80976,1.45051,0.000755,0.000755,0.000755
